id	cond	S1.pre	S2.pre	S1.post	S2.post	V1.pre	V2.pre	V1.post	V2.post
70	aer	20	24	26	31	3	4	4	4
71	aer	16	29	21	28	28	20	25	21
72	aer	18	26	27	34	10	8	18	13
73	aer	15	24	19	26	4	7	0	6
74	aer	20	23	23	23	6	7	22	5
75	aer	21	31	24	36	9	11	9	22
76	aer	24	32	26	42	36	26	39	29
77	aer	20	25	24	22	17	14	20	15
78	aer	21	30	24	34	29	25	24	33
79	aer	19	26	26	35	5	7	8	6
80	aer	17	29	18	27	2	4	3	2
81	aer	17	24	20	30	23	20	19	17
82	aer	17	28	18	30	14	12	20	11
83	aer	12	22	13	26	2	5	7	5
84	aer	20	26	17	28	14	11	26	17
85	aer	20	27	21	32	36	24	22	25
86	aer	15	24	23	32	2	4	13	7
87	aer	15	27	14	35	20	21	19	18
88	aer	21	28	26	39	7	7	11	4
89	aer	20	31	21	35	23	20	20	21
90	aer	15	24	16	31	24	17	39	21
91	aer	19	25	21	34	1	1	13	1
92	aer	23	33	28	40	2	4	5	9
93	aer	19	24	29	31	2	5	5	10
94	aer	19	31	24	35	23	16	15	23
95	aer	21	31	25	30	11	6	6	6
96	aer	16	27	21	29	29	23	44	29
97	aer	18	22	29	31	0	0	5	0
98	aer	16	24	24	23	15	13	17	13
99	aer	18	28	23	26	17	16	39	20
100	aer	20	27	24	27	13	8	11	14
101	des	24	33	27	39	14	10	13	14
102	des	19	25	29	29	7	5	7	5
103	des	16	28	20	33	19	15	9	13
104	des	19	24	28	23	18	11	27	11
105	des	20	24	27	34	20	13	43	18
106	des	17	21	25	30	20	11	21	13
107	des	20	22	21	30	26	14	38	16
108	des	16	24	26	30	20	12	3	11
109	des	21	29	33	40	35	26	30	30
110	des	19	30	26	33	27	19	34	21
111	des	20	27	25	35	16	13	5	16
112	des	13	26	22	32	8	3	15	2
113	des	15	28	20	38	19	15	35	15
114	des	15	26	23	26	0	0	0	6
115	des	15	29	25	37	0	2	2	6
116	des	25	31	29	43	10	2	32	5
117	des	18	26	31	33	0	0	1	0
118	des	17	24	26	25	4	5	2	7
119	des	17	30	20	39	13	12	20	15
120	des	17	28	22	32	20	15	16	19
121	des	18	23	22	29	25	16	34	23
122	des	15	30	21	39	6	3	24	3
123	des	22	27	31	42	4	6	11	7
124	des	18	24	24	30	27	19	30	21
125	des	21	25	28	38	3	1	11	6
126	des	17	28	21	36	36	26	35	29
127	des	19	31	24	35	10	9	10	12
128	des	18	27	20	38	23	17	21	16
129	des	16	26	25	39	26	20	22	26
130	des	18	25	28	34	35	24	43	28
131	des	18	25	26	30	25	23	38	23
132	des	14	33	22	38	10	5	26	9
133	des	11	23	20	24	25	21	20	25
134	des	20	28	26	33	3	5	15	5
135	des	16	23	28	32	22	19	39	24
136	des	21	26	21	35	23	16	33	22
137	des	19	31	29	38	6	5	22	6
138	des	15	21	22	27	32	20	42	24
139	des	17	24	23	32	6	7	12	6
140	des	17	26	23	34	30	23	32	22
141	des	12	24	23	34	3	1	3	1
142	des	14	25	14	29	17	16	17	17
143	des	20	26	27	30	21	14	12	18
144	des	18	27	23	33	6	2	6	4
145	des	21	26	28	36	8	8	15	9
146	des	20	30	31	37	7	6	6	6
147	des	17	28	25	36	8	4	18	1
148	des	17	25	27	33	15	20	6	18
149	des	23	24	30	33	14	11	14	20
150	des	21	30	30	32	9	12	9	20
151	des	14	26	20	34	13	14	13	15
152	des	16	26	24	36	9	6	7	10
153	des	16	30	22	36	17	12	10	14
154	des	15	25	30	29	11	8	21	8
155	des	15	21	22	24	22	20	26	25
156	des	18	26	24	32	12	7	3	9
157	des	17	29	24	33	19	13	36	14
158	des	22	34	27	41	21	14	15	19
159	des	18	24	27	32	6	10	12	12
160	des	21	27	30	36	5	11	5	13
161	des	21	26	29	32	18	16	26	15
162	des	17	26	21	33	1	2	2	3
163	des	15	23	22	25	10	6	10	7
164	des	21	34	30	37	8	8	4	13
165	des	19	26	29	33	5	4	10	6
166	des	21	29	33	44	14	11	25	12
167	des	25	34	34	38	17	15	17	16
168	des	21	23	27	31	23	10	34	17
169	des	17	26	23	37	10	7	28	7
170	des	22	35	28	42	14	6	26	13
171	des	21	28	28	35	13	4	0	3
172	des	22	29	27	30	19	5	36	1
173	des	16	24	27	32	9	1	7	6
174	des	19	22	24	29	7	6	7	4
175	des	13	24	25	27	9	6	13	8
176	des	13	25	21	31	18	17	24	23
177	des	23	33	23	35	24	17	21	24
178	des	15	27	20	37	19	15	37	20
179	des	20	32	28	38	8	7	10	15
180	des	18	28	21	38	6	6	0	8
181	des	19	28	25	34	1	0	5	0
182	des	15	22	20	29	26	16	22	12
183	des	23	33	31	42	32	23	32	26
184	des	20	29	28	35	12	9	28	9
185	des	22	27	30	34	20	19	13	16
186	des	19	27	27	34	6	5	6	6
187	des	20	28	26	32	2	3	5	9
188	des	13	28	23	31	14	14	14	17
189	des	15	25	20	36	27	21	28	23
190	des	15	24	23	33	16	12	25	11
191	des	17	21	22	27	14	11	20	16
192	des	17	25	25	37	5	4	5	3
193	des	14	26	21	26	9	8	30	9
194	des	18	28	23	40	10	4	3	6
195	des	17	29	20	35	10	11	12	12
196	des	20	25	30	33	19	13	20	19
197	des	13	23	23	35	22	16	17	21
198	des	19	24	26	33	15	9	16	14
199	des	18	30	31	43	20	9	23	9
200	des	16	29	20	34	22	16	45	19
