"ID" "salary" "years" "courses"
"162" 162 72136 8.1 24
"163" 163 87702 9.7 0
"164" 164 85637 10.2 21
"165" 165 67569 8.6 8
"166" 166 101473 10.8 20
"167" 167 71940 8.4 16
"168" 168 57906 4.7 20
"169" 169 73267 8 16
"170" 170 77490 9 20
"171" 171 102696 10.5 3
"172" 172 76270 7.2 28
"173" 173 80484 8.3 18
"174" 174 74074 6.9 24
"175" 175 70992 6.6 16
"176" 176 74583 8.6 16
"177" 177 84452 10.6 20
"178" 178 99903 8.3 36
"179" 179 87329 7.1 21
"180" 180 89495 7.9 24
"181" 181 60224 6.3 10
"182" 182 86807 7.8 11
"183" 183 77639 8.2 6
"184" 184 57393 6 12
"185" 185 81252 7.7 10
"186" 186 73095 6.8 12
"187" 187 92575 7.9 24
"188" 188 65807 7.3 14
"189" 189 69837 9.1 3
"190" 190 63887 6 21
"191" 191 72875 5.9 21
"192" 192 79824 7.3 24
"193" 193 66219 7.3 20
"194" 194 84964 9.3 24
"195" 195 60503 8.7 3
"196" 196 62424 4.9 16
"197" 197 92294 9.3 21
"198" 198 62810 6.1 20
"199" 199 79944 6.7 21
"200" 200 70427 6.4 20
