"subject" "condition" "IQ" "WM" "WM.centered" "D1" "D2"
"71" 71 "threat1" 42 91 -8.08 1 0
"72" 72 "threat1" 55 96 -3.08 1 0
"73" 73 "threat1" 37 92 -7.08 1 0
"74" 74 "threat1" 54 93 -6.08 1 0
"75" 75 "threat1" 59 106 6.92 1 0
"76" 76 "threat1" 43 91 -8.08 1 0
"77" 77 "threat1" 37 85 -14.08 1 0
"78" 78 "threat1" 48 104 4.92 1 0
"79" 79 "threat1" 75 138 38.92 1 0
"80" 80 "threat1" 77 116 16.92 1 0
"81" 81 "threat1" 83 120 20.92 1 0
"82" 82 "threat1" 59 106 6.92 1 0
"83" 83 "threat1" 41 89 -10.08 1 0
"84" 84 "threat1" 60 112 12.92 1 0
"85" 85 "threat1" 59 130 30.92 1 0
"86" 86 "threat1" 44 72 -27.08 1 0
"87" 87 "threat1" 55 111 11.92 1 0
"88" 88 "threat1" 49 78 -21.08 1 0
"89" 89 "threat1" 21 77 -22.08 1 0
"90" 90 "threat1" 23 78 -21.08 1 0
"91" 91 "threat1" 51 111 11.92 1 0
"92" 92 "threat1" 44 100 0.920000000000002 1 0
"93" 93 "threat1" 68 108 8.92 1 0
"94" 94 "threat1" 48 96 -3.08 1 0
"95" 95 "threat1" 47 107 7.92 1 0
"96" 96 "threat1" 55 99 -0.0799999999999983 1 0
"97" 97 "threat1" 44 94 -5.08 1 0
"98" 98 "threat1" 59 93 -6.08 1 0
"99" 99 "threat1" 53 91 -8.08 1 0
"100" 100 "threat1" 38 86 -13.08 1 0
"101" 101 "threat2" 39 69 -30.08 0 1
"102" 102 "threat2" 59 86 -13.08 0 1
"103" 103 "threat2" 36 75 -24.08 0 1
"104" 104 "threat2" 57 110 10.92 0 1
"105" 105 "threat2" 57 93 -6.08 0 1
"106" 106 "threat2" 49 95 -4.08 0 1
"107" 107 "threat2" 52 102 2.92 0 1
"108" 108 "threat2" 60 114 14.92 0 1
"109" 109 "threat2" 47 84 -15.08 0 1
"110" 110 "threat2" 37 79 -20.08 0 1
"111" 111 "threat2" 47 97 -2.08 0 1
"112" 112 "threat2" 48 70 -29.08 0 1
"113" 113 "threat2" 36 76 -23.08 0 1
"114" 114 "threat2" 38 90 -9.08 0 1
"115" 115 "threat2" 46 55 -44.08 0 1
"116" 116 "threat2" 73 121 21.92 0 1
"117" 117 "threat2" 63 114 14.92 0 1
"118" 118 "threat2" 73 129 29.92 0 1
"119" 119 "threat2" 47 101 1.92 0 1
"120" 120 "threat2" 55 119 19.92 0 1
"121" 121 "threat2" 45 88 -11.08 0 1
"122" 122 "threat2" 32 94 -5.08 0 1
"123" 123 "threat2" 35 92 -7.08 0 1
"124" 124 "threat2" 37 65 -34.08 0 1
"125" 125 "threat2" 50 85 -14.08 0 1
"126" 126 "threat2" 41 87 -12.08 0 1
"127" 127 "threat2" 38 75 -24.08 0 1
"128" 128 "threat2" 64 120 20.92 0 1
"129" 129 "threat2" 59 103 3.92 0 1
"130" 130 "threat2" 50 91 -8.08 0 1
"131" 131 "threat2" 54 90 -9.08 0 1
"132" 132 "threat2" 53 84 -15.08 0 1
"133" 133 "threat2" 30 61 -38.08 0 1
"134" 134 "threat2" 43 92 -7.08 0 1
"135" 135 "threat2" 79 122 22.92 0 1
"136" 136 "threat2" 57 109 9.92 0 1
"137" 137 "threat2" 34 86 -13.08 0 1
"138" 138 "threat2" 54 114 14.92 0 1
"139" 139 "threat2" 42 75 -24.08 0 1
"140" 140 "threat2" 68 133 33.92 0 1
"141" 141 "threat2" 60 129 29.92 0 1
"142" 142 "threat2" 30 103 3.92 0 1
"143" 143 "threat2" 29 103 3.92 0 1
"144" 144 "threat2" 40 77 -22.08 0 1
"145" 145 "threat2" 52 119 19.92 0 1
"146" 146 "threat2" 31 93 -6.08 0 1
"147" 147 "threat2" 44 99 -0.0799999999999983 0 1
"148" 148 "threat2" 28 70 -29.08 0 1
"149" 149 "threat2" 42 90 -9.08 0 1
"150" 150 "threat2" 61 85 -14.08 0 1
